"Time"	"RR_Fx"	"RR_Fy"	"RR_Fz"	"RR_Mx"	"RR_My"	"RR_Mz"	"RR_Wheel Speed"	"RR_Position"	"RR_Ax"	"RR_Ay"	"RR_Az"
0.332	-6.103515625	-1.831054688	-111.0839844	-2.014160156	-0.3662109375	3.662109375	0	330.2819824	0.2105712891	0.1159667969	0.9124755859
0.334	-9.765625	-1.220703125	-114.7460938	-1.46484375	-0.3662109375	3.295898438	0	330.2819824	0.06408691406	0.01525878906	0.9338378906
0.336	-14.6484375	0.6103515625	-115.9667969	-1.281738281	-0.3662109375	2.380371094	0	330.2819824	0.05798339844	-0.08850097656	0.9338378906
0.338	-13.42773438	1.831054688	-113.5253906	-2.380371094	-0.1831054688	1.831054688	0	330.2819824	0.2380371094	-0.08239746094	0.9796142578
0.34	-13.42773438	4.8828125	-111.0839844	-3.662109375	-0.3662109375	1.281738281	0	330.2819824	0.4486083984	-0.05187988281	1.049804688
0.342	-20.75195313	9.155273438	-100.0976563	-5.126953125	0	0.1831054688	0	330.2819824	0.4913330078	-0.03051757813	0.9887695313
0.344	-39.0625	7.32421875	-84.22851563	-6.225585938	0	-0.9155273438	0	330.2819824	0.3875732422	0.1342773438	0.8239746094
0.346	-47.60742188	14.6484375	-74.46289063	-6.408691406	0	-1.46484375	0	330.2819824	0.2471923828	0.1556396484	0.6927490234
0.348	-37.84179688	19.53125	-78.125	-6.225585938	0	-1.831054688	0	330.2819824	0.1800537109	0.06103515625	0.6652832031
0.35	-23.19335938	12.81738281	-101.3183594	-4.943847656	0	-1.647949219	0	330.2819824	0.2532958984	0.1281738281	0.7751464844
0.352	-17.08984375	10.98632813	-124.5117188	-4.028320313	-0.1831054688	-0.9155273438	0	330.2819824	0.3234863281	0.1525878906	1.07421875
0.354	-15.86914063	12.81738281	-136.71875	-3.295898438	-0.1831054688	-0.9155273438	0	330.2819824	0.3051757813	0.03967285156	1.284790039
